Pair,4H Change,24H Change,Ratio,4H Volume,24H Volume,4H Open Time,4H Close Time,4H Open,4H Close,12H Open Time,12H Close Time,12H Open,12H Close,Interpretation
BTCUSDT,0.335450542005425,0.906690366521676,0.3699725445328259,2580.7308,37219.29214,2024-08-13 06:00:00,2024-08-13 09:59:59.999000,59040.0,59238.05,2024-08-12 18:00:00,2024-08-12 21:59:59.999000,60207.38,59043.98,
ETHUSDT,-0.2800804101822802,4.539891303920051,-0.0616931973548441,36317.3848,501116.109,2024-08-13 06:00:00,2024-08-13 09:59:59.999000,2656.38,2648.94,2024-08-12 18:00:00,2024-08-12 21:59:59.999000,2689.2,2660.09,
BNBUSDT,1.3757023832590627,1.714623571147033,0.8023349301903963,23575.04,287722.042,2024-08-13 06:00:00,2024-08-13 09:59:59.999000,516.1,523.2,2024-08-12 18:00:00,2024-08-12 21:59:59.999000,519.7,513.1,
BCCUSDT,3.637833468067906,-8.667046245334339,-0.41973163233393745,11568.7745,158693.82577,2018-11-15 17:00:00,2018-11-15 17:39:59.999000,432.95,448.7,2018-11-15 05:00:00,2018-11-15 08:59:59.999000,435.43,464.13,
NEOUSDT,-0.21253985122209962,0.0,Infinity,14888.06,355021.32999999996,2024-08-13 06:00:00,2024-08-13 09:59:59.999000,9.41,9.39,2024-08-12 18:00:00,2024-08-12 21:59:59.999000,9.69,9.44,
